gram,counts
mask,1557847
covid,643607
19,567263
coronavirus,552583
wear,506197
masks,408132
wearing,377738
face,271066
people,247517
covid19,244990
amp,163055
virus,147781
trump,137677
social,117960
get,114799
spread,111641
one,110534
cases,107645
distancing,107416
like,94928
stay,91591
public,89998
us,89246
please,85933
new,83392
protect,82524
pandemic,81128
need,75995
still,73398
safe,72568
work,72399
health,71933
stop,71691
hands,71300
via,70681
home,70469
help,70277
corona,68903
would,67861
go,67372
even,66656
make,65336
without,63672
use,61942
keep,61342
distance,60566
know,59880
everyone,59101
others,58968
time,56400
mandate,55401
take,54559
wash,53555
mandatory,53162
going,52977
says,52678
could,49278
realdonaldtrump,48926
think,48416
see,47831
many,47025
lockdown,46507
want,46393
re,45840
also,45838
say,45523
covid_19,45249
said,45100
news,44469
must,43564
well,43448
around,43393
day,41948
care,41704
good,41247
vaccine,41093
positive,41055
medical,40531
president,40445
right,39903
prevent,39546
let,38952
spain,38207
cdc,38021
may,37555
nothing,37466
today,37385
way,36692
house,36373
anti,36175
getting,36099
wearamask,36094
state,34996
put,34883
got,34388
hospital,33820
n95,33492
deaths,33442
restrictions,33417
000,33274
facemask,32770
risk,32664
facemasks,32662
back,31842
really,31485
every,31241
world,31098
person,30719
first,30696
lives,30262
much,29872
protection,29866
family,29376
sick,29276
days,29145
made,28939
infected,28926
hand,28898
americans,28113
life,27985
someone,27971
white,27499
away,26952
order,26760
tested,26601
fight,26310
flu,25878
better,25867
man,25686
real,25580
nose,25488
test,25353
despite,25297
science,25194
spreading,25090
since,25066
avoid,24997
etc,24930
country,24768
cloth,24642
look,24470
ca,24427
follow,24366
anyone,24229
thing,24027
never,23961
worn,23850
spanish,23667
biden,23571
died,23560
government,23544
maskup,23377
save,23297
safety,23247
outdoors,23007
best,22905
inside,22568
live,22486
strict,22424
wore,21997
mandates,21972
sure,21928
study,21685
yet,21681
free,21615
rules,21388
two,21245
states,21217
months,21209
workers,21166
outside,21118
remember,20935
county,20855
making,20820
year,20751
death,20718
last,20700
believe,20642
dr,20615
infection,20475
come,20454
part,20405
die,20397
testing,20391
china,20384
achieve,20226
always,19878
shop,19812
due,19727
effective,19650
another,19612
read,19424
told,19423
tell,19203
times,19118
staysafe,19039
hope,19003
patients,18915
governor,18890
week,18723
washing,18714
hoax,18687
taking,18678
continue,18636
control,18574
100,18482
2020,18415
important,18385
watch,18366
surgical,18319
damn,18291
guidelines,18171
high,18082
quarantine,17746
community,17710
wo,17645
might,17606
ve,17385
using,17359
enough,17330
wears,17290
transmission,17239
america,17215
long,17116
mouth,17095
less,16949
least,16878
show,16815
10,16812
gloves,16787
saying,16708
give,16663
reduce,16662
case,16610
healthy,16609
disease,16480
contact,16407
air,16388
boris,16250
great,16072
ppe,15945
gov,15918
measures,15887
next,15866
love,15862
weeks,15857
stupid,15711
open,15687
slow,15635
fucking,15493
non,15452
yes,15434
feel,15361
symptoms,15241
maybe,15058
staff,15016
together,14841
fauci,14794
simple,14776
makes,14426
city,14371
store,14280
old,14260
already,14227
million,14214
things,14137
covering,14023
practice,14001
throughout,13981
actually,13915
local,13802
police,13664
place,13542
doctor,13533
number,13473
close,13259
video,13139
possible,13070
funny,13063
support,13004
required,12996
thank,12992
florida,12982
uk,12948
hard,12937
gop,12908
bad,12873
big,12819
rate,12811
school,12734
something,12728
numbers,12724
related,12651
needs,12636
end,12617
stickers,12581
usa,12541
selling,12514
little,12495
20,12442
ll,12338
visit,12280
cute,12278
rose,12221
pence,12204
used,12169
experts,12125
daily,12096
friends,12080
tests,12051
start,12022
refuse,11954
na,11835
feet,11780
seriously,11731
else,11718
check,11619
physical,11583
seen,11546
went,11535
indoors,11520
merch,11511
designing,11504
reason,11495
pillows,11454
doctors,11412
mugs,11363
full,11357
sharply,11349
trying,11342
kids,11226
learn,11068
find,11062
working,11015
properly,10984
lot,10965
covid__19,10941
sanitizer,10915
buy,10913
including,10861
done,10815
evidence,10769
business,10727
political,10666
coverings,10640
ones,10597
point,10585
protective,10576
socialdistancing,10565
american,10494
dead,10480
stayhome,10468
instead,10392
ever,10364
opt,10323
limit,10290
shows,10272
god,10260
places,10250
october,10206
refused,10183
wrong,10145
healthcare,10091
cnn,9967
national,9966
reply,9958
rally,9903
understand,9846
children,9785
skyrocketed,9756
available,9753
fact,9656
outbreak,9635
ask,9629
amid,9516
texas,9510
hospitals,9477
businesses,9344
removes,9318
droplets,9294
gatherings,9253
far,9251
lockdowns,9209
return,9182
schools,9175
dying,9102
cover,9082
following,9079
precautions,9064
maskless,8863
kill,8857
shit,8752
oh,8751
phone,8744
serious,8603
